Brand,Name,City,Region,District,Rating,Review Count,Address,latitude,Longitude,PlaceID
Toyota,Abdul Latif Jameel Motors – Toyota|عبد اللطيف جميل للسيارات - تويوتا,الرياض,منطقة الرياض,امارة منطقة الرياض,3.6,3687,"Riyadh,Al Rabwah, Dist, Rd, الرياض 12813, Saudi Arabia",24.69972,46.739777,ChIJtav5wfoDLz4R2LUqb3Yy4Gw
Toyota,Abdul Latif Jameel Motors – Toyota|عبد اللطيف جميل للسيارات - تويوتا,Riyadh,Riyadh Province,Riyadh Principality,3.3,449,"Said Ibn Zayd Rd, Qurtubah, Riyadh 13248, Saudi Arabia",24.822404,46.729476,ChIJ21GzPxX8Lj4RsZwei-bwbyQ
Toyota,Abdul Latif Jameel Motors – Toyota|عبد اللطيف جميل للسيارات - تويوتا,Riyadh,Riyadh Province,Riyadh Principality,3.6,423,"Eastern Ring Rd, Ar Rawabi, Riyadh 14215, Saudi Arabia",24.684548,46.777513,ChIJ45_NgiQELz4RyQDOFTFLqs8
Toyota,Abdul Latif Jameel Motors – Toyota|عبد اللطيف جميل للسيارات - تويوتا,Riyadh,Riyadh Province,Riyadh Principality,3.3,3558,"Shobra Distract, Exit25, Aisha Street, Shubra, Riyadh 12988, Saudi Arabia",24.570664,46.665473,ChIJp4dbyBgQLz4R7BL8Q5ujo7c
Toyota,"Abdul Latif Jameel, Toyota Service Center",Riyadh,Riyadh Province,Riyadh Principality,3.7,902,"PMW4+HV5, Al Imam Saud Ibn Abdul Aziz Branch Rd, Al Muruj, Riyadh 12263, Saudi Arabia",24.7463843,46.6572193,ChIJFWlqhaTiLj4RFvSztmlCuYU
Toyota,Abdul Latif Jameel Motors – Toyota (Service) | عبد اللطيف جميل للسيارات – تويوتا (الصيانة),الرياض,منطقة الرياض,امارة منطقة الرياض,3.7,1209,"Intersection of Olaya Street with Imam Muhammad bin Saud Street, شارع العليا، المروج، الرياض 12263, Saudi Arabia",24.746147,46.656711,ChIJt3eUj6TiLj4R1NxHjyACAdA
Toyota,Toyota Khurais Maintenance Department,Riyadh,Riyadh Province,Riyadh Principality,3.8,1278,"PP2R+468, Makkah Al Mukarramah Rd, الفرعي، الربوة،، Riyadh 12411, Saudi Arabia",24.7002901,46.7405659,ChIJawUX5PoDLz4RgMyPHiomBYQ
Toyota,Abdul Latif Jameel Motors – Toyota (Service) | عبد اللطيف جميل للسيارات – تويوتا (الصيانة),الرياض,منطقة الرياض,امارة منطقة الرياض,3.1,26,"Riyadh,Shobra Distract, Exit25, Aisha Street, شبرا، الرياض 12988, Saudi Arabia",24.57098,46.665327,ChIJRxrdqPIRLz4RwPa98k6nQR0
Toyota,عبداللطيف جميل للصيانة حي الفيصلية,Riyadh,Riyadh Province,Riyadh Principality,3.3,38,"3634 نخله الشاميه، الفيصلية، الرياض 12892، 8712, Al Faisaliyyah, Riyadh 8712, Saudi Arabia",24.6505566,46.7904684,ChIJTbSbz9UHLz4RwMhJ6zqO-2I
Toyota,قطع غيار تويوتا عبداللطيف,Riyadh,Riyadh Province,Riyadh Principality,3.3,251,"8323 Makkah Al Mukarramah Br Rd, 8323, Ar Rabwah, 3663، Riyadh 12813, Saudi Arabia",24.6998563,46.740005,ChIJrR3iCAcDLz4RqO9sZIAZTuM
Toyota,قطع غيار عبداللطيف جميل,Riyadh,Riyadh Province,Riyadh Principality,2.8,190,"PRX9+G93, An Nasim Al Gharbi, Riyadh 14232, Saudi Arabia",24.7487733,46.8184241,ChIJc6O724QALz4RZxOkHBQofvk
Toyota,Abdul Latif Jameel Motors – Toyota (Service) | عبد اللطيف جميل للسيارات – تويوتا (الصيانة),Jeddah,Makkah Province,Jeddah,3.9,71,"Alfisalyah, Madinah road, Al Faisaliyyah, Jeddah 23441, Saudi Arabia",21.560624,39.173068,ChIJuViAnkvRwxUR_iWJWIOfc5Q
Toyota,Toyota,Jeddah,Makkah Province,Jeddah,4,71,"J537+53F, Al Bawadi, Jeddah 23531, Saudi Arabia",21.6029354,39.1626763,ChIJXRQCXJjQwxURAtm5mUQMROc
Toyota,Toyota showroom,Jeddah,Makkah Province,Jeddah,3.3,58,"حي الحمدانية،، 6766, Al Hamadaniyah District, Jeddah 23761, Saudi Arabia",21.7551467,39.1855921,ChIJVwWcgvJ8wRURhk3u34Lo1i8
Toyota,Abdul Latif Jameel Toyota Service Center,Jeddah,Makkah Province,Jeddah,3.8,336,"Safinah Square، Prince Sultan St.، As Salamah, Jeddah 23525, Saudi Arabia",21.6016581,39.1437253,ChIJj_QY12_awxURPKpN-xBJltU
Toyota,Abdul Latif Jameel Motors – Toyota|عبد اللطيف جميل للسيارات - تويوتا,جدة,مكة المكرمة,جدة,3.6,498,"Jeddah,Al Safa Dist.,Prince Majed, bin Abdulaziz Road, AL Sabeen, جدة 23451, Saudi Arabia",21.576971,39.199782,ChIJVWqjGAHRwxURrvyojCuhwpI
Toyota,Abdul Latif Jameel Motors – Toyota|عبد اللطيف جميل للسيارات - تويوتا,جدة,مكة المكرمة,جدة,3.6,561,"Jeddah,Al Rehab Dist, Road - Tahlia, شارع الأمير محمد بن عبدالعزيز، الرحاب، جدة 23345, Saudi Arabia",21.564621,39.21703,ChIJ8_iRVp_RwxURQiD4jv5Vv6M
Toyota,Toyota Maintenance,Jeddah,Makkah Province,Jeddah,3.8,1679,"6551 محمد مجدالدين, حي الفيصلية, Jeddah 23441, Saudi Arabia",21.5610282,39.173384,ChIJJ-KoJhXQwxURHd0gIWN4si8
Toyota,Abdul Latif Jameel Motors – Toyota|عبد اللطيف جميل للسيارات - تويوتا,Jeddah,Makkah Province,Jeddah,3.7,1427,"Prince Sultan Rd, As Salamah, Jeddah 23525, Saudi Arabia",21.601794,39.144345,ChIJ6zjgKnDawxURjOBtwAeTvs0
Toyota,Abdul Latif Jameel Motors – Toyota|عبد اللطيف جميل للسيارات - تويوتا,جدة,مكة المكرمة,جدة,3.6,19,"Jeddah, Alfisalyah, Madinah, road, جدة 23441, Saudi Arabia",21.561062,39.172958,ChIJFQ1FS_XRwxURVF5OZb_L85Q
Toyota,Abdul Latif Jameel Motors – Toyota|عبد اللطيف جميل للسيارات - تويوتا,مكة المكرمة,مكة المكرمة,امارة منطقة مكة المكرمة,3.7,4076,"Al Kakkia, Crown Prince neighborhood, طريق الليث، ولي العهد، مكة المكرمة 24353, Saudi Arabia",21.367658,39.799636,ChIJO4Gz7qAawhURdDOQ_2F-MZ8
Toyota,Abdul Latif Jameel Motors – Toyota,Makkah,Makkah Province,Makkah Principality,3.8,638,"Makkah,Alnawareya,Madina، Road، Makkah 24414, Saudi Arabia",21.543374,39.779167,ChIJ1ydVxOMCwhURWhtOnm01iV4
Toyota,Abdul Latif Jameel Motors – Toyota|عبد اللطيف جميل للسيارات - تويوتا,At Taif,Makkah Province,Al Taif,3.4,1895,"7C72+WMF, Wadi Waj Rd, Al Salamah, At Taif 26511, Saudi Arabia",21.26354,40.401942,ChIJGWH3CLCO6RURNFAG62Qn_5M
Toyota,Toyota,Abha,Aseer Province,Asir Principality,3.4,1471,"3739 King Fahd Rd, 8781, Abha 62527, Saudi Arabia",18.2285671,42.5463142,ChIJp5ZqHdJU4xURZ-5ZqBzC5Sc
Toyota,Alyahya,Khamis Mushait,Aseer Province,Khamis Mushait,3.3,749,"7MRH+8HP, شارع المعارض, Hijlah, Khamis Mushait 62411, Saudi Arabia",18.2908435,42.6789417,ChIJhw3WTBdX-xURGQY6Y-0xVDU
Toyota,Toyota,Jizan,Jazan Province,Jazan Principality,3.7,415,"2549، King Abdul Aziz Rd, Al Safa, Jizan 82721, Saudi Arabia",16.888636,42.5622661,ChIJBX2Yp5fiBxYRoy1qa3XKc3c
Toyota,Salem Babgi Company شركة سالم بابقي التجارية,Jizan,Jazan Province,Jazan Principality,3.7,985,"King Abdul Aziz Rd, Al Safa, Jizan 82721, Saudi Arabia",16.8891542,42.5629817,ChIJP9nrd5fiBxYRFosQ4V_rGSY
Toyota,Abdul Latif Jameel Motors – Toyota|عبد اللطيف جميل للسيارات - تويوتا,Unayzah,Al Qassim Province,Unayzah,3.6,1009,"King Abdulaziz Road, Al-Roghani, Unayzah 56217, Saudi Arabia",26.121607,43.984168,ChIJ2wkYmffugRURMMtbFjcqvro
Toyota,Abdul Latif Jameel Motors – Toyota|عبد اللطيف جميل للسيارات - تويوتا,Buraydah,Al Qassim Province,Buraydah Principality,3.2,1241,"Dist, King Abdulaziz Rd, Sultanah, Buraydah 52377, Saudi Arabia",26.378347,43.907892,ChIJAQAAAGRXfxURg4664AdFDN0
